station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
GVE;19720501;-;0;68;965.7;64.8;11010;12.5;0.7;26;67.8
GVE;19720601;-;0;63;967.4;105.4;13044;15.3;3.4;26.6;70.5
GVE;19720701;-;0;49;969;49.7;14646;18.3;5.2;30.9;68.5
GVE;19720801;-;0;48;969.3;53.5;13950;17.6;5.4;31.1;66.5
GVE;19720901;-;0;48;969;37.4;10698;11.9;0.2;25.4;73
GVE;19721001;-;0;51;969.9;26.9;8160;8.3;-0.7;19.7;78.5
GVE;19721101;-;0;80;971.3;145.6;3516;6.3;-6.3;17.3;82.8
GVE;19721201;-;0;83;974.9;76.3;2370;1.2;-5.9;11.1;88.3
GVE;19730101;-;0;81;972.9;31.8;2760;0.3;-7.2;7.2;83.6
GVE;19730201;-;0;75;967;42.7;4626;1.1;-7.2;11.5;76.1
GVE;19730301;-;0;48;972.3;6.5;11388;4;-8.9;17.2;65.5
GVE;19730401;-;0;61;966;63.7;10644;6.6;-3.5;20.8;64.6
GVE;19730501;-;0;61;968.5;90.2;12480;13.9;1.6;26.6;71.3
GVE;19730601;-;0;54;969.5;121.7;13932;17;5.9;28.1;72.4
GVE;19730701;-;0;53;966.8;135;14472;18.3;7.1;29.8;71.5
GVE;19730801;-;0;48;971;54.9;13266;19.5;9.4;30.4;75.7
GVE;19730901;-;0;43;969.8;86.7;12144;15.4;3.2;29.6;76.7
GVE;19731001;-;0;61;971.3;55.3;6924;8.6;-1.7;19;80.6
GVE;19731101;-;0;56;974.9;52.5;6726;4.1;-9.8;16;81.4
GVE;19731201;-;1;73;968.6;52.9;3276;0.8;-11.1;10.4;80.4
GVE;19740101;-;0;79;973.2;73.8;2832;3.2;-5;14.2;87
GVE;19740201;-;0;85;963.1;75.7;2220;4.4;-3.5;16.7;77.1
GVE;19740301;-;0;76;965.6;40.7;5106;7.3;-4.9;20;73.4
GVE;19740401;-;0;46;962.9;31.9;12678;9;-1.8;19.8;65.5
GVE;19740501;-;0;64;965.9;119.9;10668;12.2;1.6;25.1;71.6
GVE;19740601;-;0;54;967.4;123;12756;15.2;4.3;27.8;71.7
GVE;19740701;-;0;43;970.8;37.4;17046;18.2;5.8;30.3;66
GVE;19740801;-;0;43;969.5;36.5;14430;18.9;7.2;32.9;69.5
GVE;19740901;-;0;59;967.9;140.3;8982;14.1;1.8;27.3;78.8
GVE;19741001;-;0;75;966.3;145.8;3570;5.5;-1.9;13.4;82.3
GVE;19741101;-;0;79;969;136.4;1998;5.3;-3.2;17.7;83.4
GVE;19741201;-;0;69;977.6;57.4;4200;3.7;-5.5;16;83.2
GVE;19750101;-;0;79;973.4;107.8;2640;3.5;-4.4;13;85.7
GVE;19750201;-;0;51;973.8;12.3;6960;2.2;-5.8;13.3;77.8
GVE;19750301;-;0;78;960.8;73.7;4140;4.5;-4.2;14.3;76.1
GVE;19750401;-;0;58;967.3;58.1;10734;8.8;-4;21.7;66.3
GVE;19750501;-;0;68;966;76.8;10794;12.8;1.5;28;70.8
GVE;19750601;-;0;55;968.8;92.9;13422;15.2;2.9;29.8;71.3
GVE;19750701;-;0;36;969.4;68.9;18834;19.1;6.7;33;67
GVE;19750801;-;0;58;969.7;153;11154;18.6;8.4;29.9;75.3
GVE;19750901;-;0;61;969.9;202.5;7668;15.9;8.4;25.6;81.8
GVE;19751001;-;0;71;972.9;43.7;5100;8.2;0.3;22.9;85.1
GVE;19751101;-;0;81;968.8;149.3;2772;6;-6.4;13.9;82.1
GVE;19751201;-;0;89;974.4;79.2;978;1.3;-6;10.3;83
GVE;19760101;-;0;60;973.2;23.9;5082;0.9;-8.9;10.6;80.5
GVE;19760201;-;1;74;970.9;99.1;3858;1.6;-7.3;11.7;84
GVE;19760301;-;0;44;969;20.7;10722;4.4;-6.6;19.9;67.2
GVE;19760401;-;0;41;965.2;26.5;13734;8.6;-2.6;20.9;63.5
GVE;19760501;-;0;51;968.2;40.9;15630;14.4;-0.8;27.5;63.2
GVE;19760601;-;0;28;970.7;1.9;20766;19.5;6;32.3;54.2
GVE;19760701;-;0;49;968.6;93.8;15492;20.4;8.1;35.1;62.1
GVE;19760801;-;0;41;969.9;78.4;15288;17.2;7.1;28.1;69
GVE;19760901;-;0;59;968.1;234.6;8532;12.9;4.2;23.4;81.4
GVE;19761001;-;0;68;961.7;91.1;6366;10.5;1.3;23;86.2
GVE;19761101;-;0;74;969.3;152.3;4080;5.4;-4.8;12.3;78.9
GVE;19761201;-;0;83;963.1;141.8;1800;0.8;-11.1;11.2;83.8
GVE;19770101;-;3;84;965.6;153.3;1926;1.6;-8.7;11.3;85.6
GVE;19770201;-;0;75;964.3;182.6;3804;5.4;-7.4;16.2;81.5
GVE;19770301;-;0;68;971.1;77.2;7200;7.5;-4;19.2;75.4
GVE;19770401;-;0;74;968;135;6618;8.1;-2;24;70.8
GVE;19770501;-;0;66;966;123.6;9228;12;1.6;22.5;76.5
GVE;19770601;-;0;60;966.8;145.3;10998;15.4;6;27;75
GVE;19770701;-;0;49;967;161.3;14754;18.2;8.6;28.6;71.8
GVE;19770801;-;0;54;966.2;90.4;13290;16.8;8.6;27.2;76.4
GVE;19770901;-;0;40;973.3;12.8;12162;13.6;0.8;27;76.5
GVE;19771001;-;0;70;971.5;115.7;4938;10.9;1.2;27.3;85.5
GVE;19771101;-;0;69;967.6;99;4992;5.4;-4.1;20.4;78.8
GVE;19771201;-;0;85;972.7;107.8;1854;2.5;-2.8;13.5;85.3
GVE;19780101;-;0;80;965.7;125.2;3348;1.2;-7.4;9.4;84.8
GVE;19780201;-;2;79;960;133.1;3210;2;-13;11.4;82.2
GVE;19780301;-;0;73;967.2;146.5;5202;5.8;-3;18;75
GVE;19780401;-;0;63;961.1;42.8;9246;7.8;-3.2;17.9;70.1
GVE;19780501;-;0;69;965.7;73;9600;12;1.2;24.3;74.8
GVE;19780601;-;0;61;967.5;96.6;11688;15.7;5.3;28.8;69.5
GVE;19780701;-;0;51;969.6;65.5;13260;17.6;6.3;30.6;73.1
GVE;19780801;-;0;43;970.5;126;13974;16.6;5.5;28;75.5
GVE;19780901;-;0;39;972.3;48.2;13014;14.2;3.6;26.7;75
GVE;19781001;-;0;58;973.9;24.2;7836;8.6;-1;18.2;84.5
GVE;19781101;-;0;74;978.4;5.7;3042;3.7;-3.8;13.1;84.3
GVE;19781201;-;0;81;961.4;181.7;2490;3.2;-6.4;13.9;82.3
GVE;19790101;-;7;75;965.2;196;4032;-1.1;-14.8;6.3;80.8
GVE;19790201;-;0;78;961.5;129.4;3372;4;-7.8;13.8;77.8
GVE;19790301;-;0;81;963.1;157.3;4038;6.2;-5.7;16.3;77.9
GVE;19790401;-;0;64;964.6;56.2;9618;7.5;-3;19.3;67.6
